step,split,loss
1,train,0.6959862411022186
2,train,0.23860763758420944
3,train,0.3645913004875183
4,train,0.3458944037556648
5,train,0.46652888506650925
6,train,0.2848438732326031
7,train,0.3460922986268997
8,train,0.3064946196973324
9,train,0.30389825254678726
10,train,0.2641501873731613
11,train,0.2675963155925274
12,train,0.3505270965397358
13,train,0.3118033669888973
14,train,0.2620823532342911
15,train,0.27891620621085167
16,train,0.2241976223886013
17,train,0.2698496952652931
18,train,0.25564979389309883
19,train,0.2962472438812256
20,train,0.274823859333992
21,train,0.2855881042778492
22,train,0.2234000489115715
23,train,0.2975212298333645
24,train,0.22696150839328766
25,train,0.32539234310388565
26,train,0.24562927335500717
27,train,0.26683733239769936
28,train,0.2513926103711128
29,train,0.31954487785696983
30,train,0.2218473143875599
31,train,0.21928879618644714
32,train,0.25562451407313347
33,train,0.21545200049877167
34,train,0.2253160998225212
35,train,0.2879151217639446
36,train,0.2455194927752018
37,train,0.22045033797621727
38,train,0.22330568730831146
39,train,0.22486332803964615
40,train,0.19921331480145454
41,train,0.23190975189208984
42,train,0.21793637797236443
43,train,0.20031355693936348
44,train,0.22170836851000786
45,train,0.20065683126449585
46,train,0.21834130957722664
47,train,0.20056169480085373
48,train,0.19525916129350662
49,train,0.22221767902374268
50,train,0.22281457483768463
51,train,0.20727106556296349
52,train,0.20560353249311447
53,train,0.23343195766210556
54,train,0.21647609025239944
55,train,0.20480956882238388
56,train,0.21528198942542076
57,train,0.2105245552957058
58,train,0.21604127064347267
59,train,0.22265037894248962
60,train,0.20603491738438606
61,train,0.22352392971515656
62,train,0.21199233084917068
63,train,0.20307743176817894
64,train,0.22077370434999466
65,train,0.20449397712945938
66,train,0.20970885083079338
67,train,0.19365490600466728
68,train,0.2145654447376728
69,train,0.2085619904100895
70,train,0.1958082765340805
71,train,0.20588595420122147
72,train,0.2046538069844246
73,train,0.20016071572899818
74,train,0.21126104518771172
75,train,0.19274822995066643
76,train,0.1991487704217434
77,train,0.22844865918159485
78,train,0.22487863153219223
79,train,0.18869027122855186
80,train,0.20461057871580124
81,train,0.19730794429779053
82,train,0.19103575125336647
83,train,0.20775137841701508
84,train,0.21429282054305077
85,train,0.21466254442930222
86,train,0.20380358397960663
87,train,0.19808979704976082
88,train,0.21265898272395134
89,train,0.199846088886261
90,train,0.20695600658655167
91,train,0.20428702235221863
92,train,0.18976527452468872
93,train,0.23072152957320213
94,train,0.19044720008969307
95,train,0.20093552023172379
96,train,0.19712813198566437
97,train,0.2030218504369259
98,train,0.2030048966407776
99,train,0.18350430205464363
100,train,0.20306803658604622
101,train,0.21750349923968315
102,train,0.19673142954707146
103,train,0.21039464324712753
104,train,0.2016691192984581
105,train,0.20914951339364052
106,train,0.2063843309879303
107,train,0.2168758399784565
108,train,0.18751902133226395
109,train,0.1967581994831562
110,train,0.20411354675889015
111,train,0.18543869629502296
112,train,0.17997430637478828
113,train,0.18958593159914017
114,train,0.19736633822321892
115,train,0.20356690138578415
116,train,0.1733335293829441
117,train,0.19011567160487175
118,train,0.20504184439778328
119,train,0.19618695974349976
120,train,0.22011935710906982
121,train,0.2015509083867073
122,train,0.21133312210440636
123,train,0.2088054195046425
124,train,0.20447810739278793
125,train,0.1938384212553501
126,train,0.21742889285087585
127,train,0.1964690126478672
128,train,0.19674015417695045
129,train,0.18633145093917847
130,train,0.19785724952816963
131,train,0.2056226059794426
132,train,0.20480873063206673
133,train,0.21266307309269905
134,train,0.1979479230940342
135,train,0.2029448077082634
136,train,0.1821872554719448
137,train,0.19465439394116402
138,train,0.21084895357489586
139,train,0.21159175783395767
140,train,0.19780659675598145
141,train,0.20511071756482124
142,train,0.19655388593673706
143,train,0.20328539609909058
144,train,0.2040446698665619
145,train,0.17831968143582344
146,train,0.18836857378482819
147,train,0.20212189480662346
148,train,0.2015472911298275
149,train,0.18892672285437584
150,train,0.1912354752421379
151,train,0.1961735412478447
152,train,0.19805126264691353
153,train,0.19852662831544876
154,train,0.20486433058977127
155,train,0.21774346753954887
156,train,0.20683785155415535
157,train,0.19385894760489464
158,train,0.18727174401283264
159,train,0.2178792767226696
160,train,0.20740420371294022
161,train,0.21333341300487518
162,train,0.2173105664551258
163,train,0.2038617506623268
164,train,0.2182529792189598
165,train,0.18327200412750244
166,train,0.1997460052371025
167,train,0.2006443701684475
168,train,0.1994694098830223
169,train,0.18645181506872177
170,train,0.2266453392803669
171,train,0.20042529329657555
172,train,0.1986314058303833
173,train,0.18634198233485222
174,train,0.19895212724804878
175,train,0.20692866668105125
176,train,0.18343692272901535
177,train,0.20382849872112274
178,train,0.1850092150270939
179,train,0.185629740357399
180,train,0.19906509295105934
181,train,0.2097681313753128
182,train,0.19906412065029144
183,train,0.1935885101556778
184,train,0.20324963703751564
185,train,0.19184564054012299
186,train,0.18279103934764862
187,train,0.19347350671887398
188,train,0.20312708988785744
189,train,0.19626056402921677
190,train,0.19539479538798332
191,train,0.19262049719691277
192,train,0.21004249155521393
193,train,0.21652228385210037
194,train,0.20511670038104057
195,train,0.17984329536557198
196,train,0.18439329788088799
197,train,0.198138527572155
198,train,0.19684230908751488
199,train,0.1894027665257454
200,train,0.19031516835093498
201,train,0.19334976002573967
202,train,0.1790795885026455
203,train,0.19622518867254257
204,train,0.20657136663794518
205,train,0.19772705808281898
206,train,0.2080121412873268
207,train,0.21460256353020668
208,train,0.20193635299801826
209,train,0.2335299588739872
210,train,0.19283514097332954
211,train,0.21113041043281555
212,train,0.19959251955151558
213,train,0.18690736591815948
214,train,0.19581302627921104
215,train,0.20453976094722748
216,train,0.20470768958330154
217,train,0.19754476845264435
218,train,0.19878743216395378
219,train,0.18657489120960236
220,train,0.18876277655363083
221,train,0.19920972362160683
222,train,0.21854745224118233
223,train,0.1941816359758377
224,train,0.20741622895002365
225,train,0.19039012491703033
226,train,0.20368534326553345
227,train,0.20329055562615395
228,train,0.2023075371980667
229,train,0.19642728939652443
230,train,0.20217175781726837
231,train,0.20678706839680672
232,train,0.19473014399409294
233,train,0.1818423792719841
234,train,0.19462311267852783
235,train,0.19780834019184113
236,train,0.18470589444041252
237,train,0.17738085985183716
238,train,0.20237460359930992
239,train,0.1967579424381256
240,train,0.2006532922387123
241,train,0.19109035655856133
242,train,0.19182102754712105
243,train,0.21078303828835487
244,train,0.20231757313013077
245,train,0.18603212013840675
246,train,0.20468216389417648
247,train,0.19853274151682854
248,train,0.19900042191147804
249,train,0.20244112238287926
250,train,0.18481124192476273
251,train,0.18012316897511482
252,train,0.16800262033939362
253,train,0.19479120522737503
254,train,0.19424370676279068
255,train,0.2088722102344036
256,train,0.19610844179987907
257,train,0.1981278918683529
258,train,0.21457291394472122
259,train,0.19541438296437263
260,train,0.203018419444561
261,train,0.19310081005096436
262,train,0.20968839153647423
263,train,0.20060249045491219
264,train,0.18899062648415565
265,train,0.19140154868364334
266,train,0.1905449703335762
267,train,0.19602826237678528
268,train,0.19969050586223602
269,train,0.17100826278328896
270,train,0.18269262835383415
271,train,0.20896431803703308
272,train,0.19967834278941154
273,train,0.1938464306294918
274,train,0.1881670244038105
275,train,0.18865587562322617
276,train,0.1815427504479885
277,train,0.19980697706341743
278,train,0.18201475217938423
279,train,0.17816167324781418
280,train,0.17802489921450615
281,train,0.19329967722296715
282,train,0.18748760223388672
283,train,0.21759120002388954
284,train,0.1858413890004158
285,train,0.19810683652758598
286,train,0.1888512521982193
287,train,0.20038902387022972
288,train,0.1829766407608986
289,train,0.2115505374968052
290,train,0.20145311951637268
291,train,0.1990290991961956
292,train,0.20230340957641602
293,train,0.19479603320360184
294,train,0.20009645074605942
295,train,0.19306791573762894
296,train,0.19160275533795357
297,train,0.1924501657485962
298,train,0.19219271838665009
299,train,0.19479410350322723
300,train,0.19447282329201698
301,train,0.1894628331065178
302,train,0.19595655798912048
303,train,0.19228216260671616
304,train,0.18982551619410515
305,train,0.20757881551980972
306,train,0.1892109550535679
307,train,0.18971612304449081
308,train,0.1703185997903347
309,train,0.20237572491168976
310,train,0.16938110813498497
311,train,0.18531761690974236
312,train,0.19743236899375916
313,train,0.1871887668967247
314,train,0.1957555115222931
315,train,0.1906728893518448
316,train,0.19447316601872444
317,train,0.1935616470873356
318,train,0.19221949949860573
319,train,0.2100776955485344
320,train,0.19041036814451218
321,train,0.1886027380824089
322,train,0.19299864768981934
323,train,0.16914625465869904
324,train,0.18439286574721336
325,train,0.2082849033176899
326,train,0.1791161224246025
327,train,0.18364661186933517
328,train,0.18894916400313377
328,val,0.3037643151894689
329,train,0.19425245001912117
330,train,0.1847756840288639
